district,disaster_type,district_avg_deaths
"(Okai Tea Garden) Mirik, Darjeeling, West Bengal",Landslide,2.0
".5 Km Away From Valparai Police Station At A Construction Site, Valparai, Tamil Nadu, India",Landslide,1.0
"12Th Mile Area At Jorabat, Meghalaya, India",Landslide,0.0
14 Milestone Of J N Marg Near Kyangnosola (East Sikkim),Landslide,0.0
"15 Km From Gangtok, Himalayans",Landslide,0.0
"15 Kms From Maram, National Highway-102/A (Maram Peren Road)",Landslide,0.0
"17Th Mile(?), Jawaharlal Nehru Marg Hwy, Between Gangtok And Nathu La, Sikkim",Landslide,0.0
"2 Km From Khongsang Village(?), Road Between Tamenglong And Imphal Or Nungba, Manipur",Landslide,0.0
"2 Mw Sal-Ii Hydropower Project, On The Outskirts Of Chamba",Landslide,0.0
200 Meters From Teesta Bridge Towards Siliguri,Landslide,0.0
22 Kms To 30 Kms Between Sangkungmai And Willong,Landslide,0.0
24 Parganas,Cyclone,149.0
"3Km Ahead Of Palchan, Manali-Palchan",Landslide,0.0
"43 Km-Point On Mughal Road, Poonch District, Jammu And Kashmir, India",Landslide,0.0
"4Th Mile, Lower Mangshila In North Sikkim",Landslide,0.0
5 Km From Kedarnath Temple,Landslide,0.0
"5 Km Off Sangam Point On Aalo- Pangin Road, Arunachal Pradesh, India",Landslide,0.0
"7 Km Of Road, Between Kasang And Akpa",Landslide,0.0
8 Mile In Kalimpong,Landslide,0.0
"A Cachar District Village, Near Village Of Srinager, Assam",Landslide,5.0
A Coal Mine In Sundergarh District Of Odisha,Landslide,7.0
A Construction Site On Tiger Hill Road,Landslide,1.0
A Hillock Between Kasara And Igatpuri,Landslide,0.0
A Village Near Bhavanagar,Landslide,2.0
Adderlie Near Coonoor,Landslide,0.0
Adhkuwari,Landslide,0.0
Adoshi Tunnel,Landslide,0.0
"Adoshi Tunnel,  Khandala Ghat, On Pune-Mumbai Expressway",Landslide,1.0
"Adoshi Tunnel, Mumbai-Pune Expressway",Landslide,3.0
"Again On Tracks Near Kulshekar, Mangalore",Landslide,0.0
Agra,Flood,48.0
Ahmednagar,Flood,28.0
"Ahmednagar-Thane Road , Malshej Ghat, Maharashtra, India",Landslide,1.0
Aizawl,Landslide,31.0
"Aizawl, Mizoram, India",Landslide,0.0
"Aizawl-Lengpui Rd 3Km From Aizawl, Mizoram, Manipur",Landslide,0.0
Akonggre,Landslide,1.0
"Akuk Village, Wokha District, Nagaland",Landslide,4.0
Allahabad,Flood,125.0
Almora,Landslide,40.0
"Almora, Uttarakhand",Landslide,0.0
"Almora-Pithoragarh Road, Between Makrau And Thiari",Landslide,0.0
"Altinho, Goa",Landslide,0.0
"Ambedkar Nagar Slum(?), Ulhasnagar City, Thane District, Maharashtra",Landslide,4.0
Ambegaon,Landslide,151.0
"Amboli Ghat In Sindhdurg, Konkan",Landslide,0.0
"Amboli, Belagum, 1.5 Km From Main Waterfalls",Landslide,0.0
"Amei To Kangpokpi Via Imphal Road, 0.5 Km From Tamei, Tamenglang District",Landslide,0.0
Amingaon,Landslide,2.0
Amreli,Flood,72.5
Amritsar,Flood,41.5
Andaman Islands,Cyclone,6.0
Andhra Pradesh,Cyclone,18.0
"Angod, Mapusa",Landslide,0.0
"Anini-Roing Road,  Dibang Valley,  Arunachal Pradesh",Landslide,0.0
"Anmod Ghat Road, Goa-Karnataka Border",Landslide,0.0
Anni And Nahan,Landslide,6.0
"Antop Hill, Mumbai",Landslide,2.0
Araria,Flood,671.0
Arthanareeswarar Temple,Landslide,0.0
Arunachal Pradesh,Landslide,4.333333333333333
Arunachal Pradesh/Itanagar,Landslide,0.0
At The Talgaon Cutting Between Sindhudurg And Kudal Section Of The Konkan Railway,Landslide,0.0
"Atharamura Hills, Highway 44, Tripura",Landslide,0.0
Atlanta Point,Landslide,0.0
Azad Jammu And Kashmir,Landslide,0.0
Babrang Village Under Jang Circle In Tawang District,Landslide,0.0
Badrinath,Landslide,0.0
"Badrinath And Yamunotri Shrines(?), Garhwal Region, Uttarakhand",Landslide,0.0
Badrinath Highway Near Mulygoan In Tihri,Landslide,0.0
"Badrinath Rd,  Rishikesh, Uttarakhand",Landslide,1.0
"Badrinath Route, Lambagarh(?), Uttarakhand",Landslide,0.0
"Bageshwar, Uttarakhand",Landslide,9.0
"Baglihar Dam, On River Chenab, Chanderkote In Banihal, Ramban , Jammu And Kashmir",Landslide,1.0
Bahraich,Flood,100.0
"Bala, Pithoragarh, Uttarakhand (450Km From Deheradun)",Landslide,15.0
Balangir,Flood,145.0
Balasore,Flood,47.5
"Baliyanala, Nainithal",Landslide,0.0
Ballia,Flood,154.0
Baltal,Landslide,0.0
Bamunimaidam,Landslide,1.0
Banaskantha,Flood,72.0
Bandar,Cyclone,8.0
Bandibala,Landslide,0.0
"Banganga-Ardhkuwari Road, Enroute To He Cave Shrine Of Mata Vaishnodevi In Jammu And Kashmirâ€™S Reasi District",Landslide,5.0
Bangapani Area Of Pithoragarh,Landslide,1.0
"Banihal, Srinagar-Jammu Highway",Landslide,0.0
Bankura,Flood,61.0
"Bantwal Cross (Bc) Road Flyover, Nh48, Between Mangalore And Beltangady(Belthangady) And Puttur, Bantwal, Karnataka",Landslide,0.0
Bapatla,Cyclone,65.0
"Baralacha La And Rahni Nallah, Himachal Pradesh Along Manali Â€“ Leh Highway",Landslide,0.0
Barddhaman,Flood,45.0
Bardhaman,Flood,65.0
Barisal Impact Wb,Cyclone,20.0
Barmer,Flood,118.33333333333333
Baroda,Flood,1103.0
Barpeta,Flood,80.6
Barwani,Flood,40.0
"Basantpur Or Gouchar Village (Two Conflicting Sources), Chamoli District",Landslide,5.0
Baskatwa In Gaya District,Landslide,0.0
Basohli-Bani Road,Landslide,0.0
Batahghuli,Landslide,0.0
"Batahguli, Guwahati, Assam",Landslide,1.0
Batote,Landslide,0.0
"Batote-Doda Highway, Ramgarh(?), Baggar(Bagger)(?) Area, Doda District, Jammu And Kashmir",Landslide,4.0
"Batote-Doda-Kishtwar Road, At Jathi(?) And Drabshalla, Jammu And Kashmir",Landslide,0.0
"Batote-Kishtwar Highway, Kishtwar Stretch",Landslide,0.0
"Bazpur, Uttarakhand",Landslide,2.0
Beerwah,Landslide,0.0
Beldanga,Landslide,1.0
Bellary,Flood,55.0
Berhampur,Cyclone,250.0
Between Batote And Ramban,Landslide,0.0
Between Bongyang And Lokchao Along The Imphal-Moreh Highway,Landslide,0.0
Between Chalong And Paraolon,Landslide,0.0
Between Kasara And Igatpuri,Landslide,0.0
"Between Kathalighat(Kathleeghat) And Knoh(?) Stations, Rail Line Between Solan And Shimla 15 Km Form Shimla, Himachal Pradesh",Landslide,0.0
"Between Mahur And Maigrandisa(?) Or Lumding, Assam",Landslide,0.0
Between Manali And Rohtang,Landslide,0.0
Between Moltuk To New Songjang Village,Landslide,0.0
Between Phesama And Kuima In Nagaland,Landslide,0.0
"Between Rudaprayag And Guptkashi, Uttarakhand (2 Landslides)",Landslide,0.0
Between Siliguri And Sevak,Landslide,0.0
Between Tengnoupal-Sita Junction And Tengnoupal Power Sub-Station,Landslide,0.0
Bhadrachalam,Flood,70.0
Bhadrak,Cyclone,50.0
Bhagalpur,Flood,81.66666666666667
"Bhangagarh, Assam",Landslide,3.0
Bharuch,Flood,32.5
"Bhatwari Area Of Uttarkashi Districti, Uttarakhand",Landslide,1.0
"Bhatwari, Rishikesh-Gangotri Highway, Uttarkhand",Landslide,0.0
"Bhatwari, Rishikesh-Gangotri Hwy",Landslide,0.0
Bhavnagar,Cyclone,19.0
"Bhikona Village, Pokhri Block, Chamoli Village, Uttarakhand",Landslide,7.0
"Bhimtal Area, Naintal District, Uttarakhand",Landslide,1.0
Bhojpur,Flood,85.0
Bhojpur,Landslide,1.0
Bhubaneswar,Cyclone,267.5
Bhusawal,Flood,35.0
Biama Area Of Khalsi Tehsil In Leh District,Landslide,2.0
Bidar,Flood,45.0
Bijapur,Flood,168.0
Bikaner,Flood,61.5
"Bilaipur, Hailakandi District, Assam, India",Landslide,2.0
Birbhum,Flood,40.0
"Birik On Nh31A, Kalimpong",Landslide,0.0
Bishnupur,Flood,24.0
Blocked The Track Between Railpathri And Baltal,Landslide,0.0
"Blue Metal Quarry, Kondayanpatti, Madurai District, India",Landslide,3.0
Bolangir,Flood,75.0
Bongaigaon,Flood,73.33333333333333
"Bop, Sikkim",Landslide,0.0
"Borra Caves, Andhra Pradesh",Landslide,0.0
"Borsorsa(?), West Khasi Hills, Meghalaya",Landslide,0.0
Botsa  And Chiechama,Landslide,0.0
Boudh,Flood,40.0
"Brahmananda Reddy Nagar(?), Machavaram, Vijayawada City, Andhra Pradesh",Landslide,0.0
"Bridge Between Coonoor And Barliar, Tamil Nadu",Landslide,2.0
"Bungte Chiru Village(?), Senapati District, Manipur",Landslide,0.0
Burdwan,Flood,50.0
Buxar,Flood,88.0
Byrnihat,Landslide,0.0
Carmel School In Palakkayam,Landslide,0.0
"Chadiyan(?) Village Near Uri, Baramulla District, Jammu And Kashmir",Landslide,0.0
"Chagoan Village Near Tapri, 220 Km From The State Capital Shimla, Kinnaur District, Himachal Pradesh",Landslide,5.0
"Chakki-Ka-Mor, About 10 Km From Parwanoo",Landslide,0.0
"Chakrata, Uttarakhand, India",Landslide,10.0
"Chakwa Bridge, 9 Kilomters Short Of Doda",Landslide,0.0
Chamba,Landslide,19.0
Chamoli,Flood,85.0
Chamoli,Landslide,42.6
"Chamoli , Uttarakhand",Landslide,1.0
"Chamoli District, Uttarakhand",Landslide,0.0
"Chamoli, Uttarakhand",Landslide,3.0
Champai,Landslide,20.0
Champawat,Landslide,28.0
"Chandanpur Village, Maharajpur, Kanpur, India",Landslide,2.0
Chandel,Landslide,14.0
"Chandigarh-Shimla National Highway (Nh 22), Near Parwanoo, Himachal Pradesh",Landslide,0.0
"Chandoli(?) And Karchuna(?) Vilalges, Pokkhri, Chamoli, Uttarakhand, Uttranchal",Landslide,0.0
Chardham Yatra,Landslide,0.0
"Cheeyapara Near Neriyamangalam, Kerala",Landslide,0.0
"Cheeyappara Waterfalls, Ernakulam, Kerala",Landslide,5.0
Chena Bhati In Karara,Landslide,0.0
Chennai,Cyclone,84.83333333333333
Chennai,Flood,87.0
"Chetra Village, Dehradun, India",Landslide,10.0
"Chhatanga Area; Helkugad; And Netala, All On The Rishikesh-Yamunotri National Highway",Landslide,0.0
"Chhatanga(?) Village On Rishikesh-Yamunotri Highway, Uttarkashi",Landslide,1.0
"Chhatru(?), Gramphu(?)-Kaza Rd, Himachal Pradesh",Landslide,0.0
Chhindwara,Landslide,3.0
"Chhinga Veng, Aizawl",Landslide,3.0
"Chhinka Area(?), On Rishikesh-Badrinath Hwy",Landslide,0.0
"Chiechama, Nagaland",Landslide,0.0
"Chingai-Kuingai(Quingai) Route (16 Kms), Chingai Subdivision, Ukhrul District, Manipur",Landslide,0.0
Chinona Area In Almora District,Landslide,3.0
Chittagong Impact,Cyclone,23.0
Chittagong-Wb Border,Cyclone,15.0
"Chittinagar, Vijayawada City, Andhra Pradesh",Landslide,0.0
"Choglamsar(Choklamsar) Village, Jammu And Kashmir",Landslide,0.0
Chohla,Landslide,0.0
Chohla Village Of Kajlot Panchayat,Landslide,0.0
Chontinar Village Of Central Kashmir Budgam District,Landslide,0.0
"Chrsiturajupuram, Vijayawada, Andhra Pradesh",Landslide,0.0
"Chumukedima, Dimapur",Landslide,0.0
"Chungthang, Sikkim",Landslide,1.0
Coastal Karnataka,Landslide,0.0
Construction Site In East Kidwai Nagar,Landslide,1.0
Cooch Behar,Flood,45.0
Cox'S Bazar Impact,Cyclone,8.0
Cuddalore,Cyclone,91.0
"Cuddegal In Sanvordem, Outside The Mining Lease Area",Landslide,0.0
Cuttack,Cyclone,600.0
Cuttack,Flood,61.75
Dabhol Village Of Maharashtra'Sâ Ratnagiriâ District,Landslide,12.0
Dahanu,Cyclone,12.0
Dakhingaon,Landslide,0.0
"Dapchhuah, Mamit, Mizoram",Landslide,4.0
Dara Gutli Village Of Uri Sector In North Kashmir'S Baramulla District,Landslide,2.0
"Daragaon(?), Gangtok City, Sikkim",Landslide,0.0
Darbhanga,Flood,245.0
Darjeeling,Landslide,29.75
Darjeeling (Between Tin Dharia And Rongtong),Landslide,0.0
"Darjeeling District, West Bengal, Toy Train Route",Landslide,0.0
"Darjeeling Heritage Railway, Darjeeling",Landslide,0.0
Darjeeling Hills (Lebong - 10 Km From Darjeeling,Landslide,15.0
"Darjeeling Sadar, Darjeeling West Bengal",Landslide,14.0
"Darjeeling, West Bengal",Landslide,0.0
"Dawrpui Vengthar Cemetary, Aizwal, Mizoram",Landslide,0.0
"Debram Chawl, Antop Hill Near Sheikh Mistry Dargah Road, Central Mumbai",Landslide,5.0
"Dehradun, Uttarakhand",Landslide,3.5
"Dehradun-Mussoorie Rd, Himachal Pradesh",Landslide,0.0
Delhi,Flood,12.0
"Deval, Chamoli District, Uttarakhand",Landslide,0.0
Dhaktebhat In Dongri Village Of St Andre Constituency,Landslide,0.0
Dhalai,Landslide,16.0
Dhankuta,Landslide,0.0
"Dharam-Tharad Area(?), Ramban District",Landslide,0.0
"Dharampur, Mandi District",Landslide,3.0
Dharamsala Roads,Landslide,0.0
Dharamsala-Kangra State Highway,Landslide,0.0
"Dharasu And Nalupani Near Uttarkashi On Rishikesh Â€“ Gangotri Highway, Uttarakhand",Landslide,0.0
"Dharasu, Uttarkashi, Uttarakhand",Landslide,1.0
"Dharasu-Gangotri Road, Uttarakhand",Landslide,0.0
Dharwad,Flood,8.0
Dhemaji,Flood,87.66666666666667
Dhirenpara,Landslide,0.0
Dhok Bagla Near Kotranka,Landslide,3.0
Dhubri,Flood,130.0
Dibrugarh,Flood,95.0
"Didihat, Uttarakhand, India",Landslide,0.0
"Digdol, Jammu-Srinagar National Highway, Between Kashmir And The Rest Of The Country",Landslide,0.0
Digha,Cyclone,50.0
"Dikhu Bridge(?), Mokokchung-Tuensang Road, Nagaland",Landslide,0.0
Dima Hasao,Landslide,26.333333333333332
Dimapur-Imphal Highway (Nh 39) Near Manipur,Landslide,0.0
"Districts Lakhimpur, Dhemaji, Golaghat, And Sonitpur, Assam Province",Landslide,0.0
Diwalkund In Dessa Belt Of Doda District,Landslide,4.0
Doba,Landslide,2.0
"Doba Sayedan, Kashmir",Landslide,10.0
Doda,Landslide,33.5
Doda-Bhaderwah Highway,Landslide,0.0
Doda-Kishtwar Road,Landslide,0.0
"Dolma Lhakang Complex, Lumla, Tawang,  Arunachal Pradesh, India",Landslide,0.0
Dum Dum Parai,Landslide,0.0
"Dumuriput, Odisha 764021, India",Landslide,0.0
East Champaran,Flood,125.0
East Godavari,Flood,65.0
East Jaintia Hills,Landslide,22.0
East Kameng District In Arunachal Pradesh Bordering China,Landslide,0.0
"East Kameng, Arunachal Pradesh",Landslide,0.0
"East Siang, Arunachal Pradesh",Landslide,3.0
East Sikkim,Landslide,24.0
East Singhbhum,Flood,38.0
"Eastern Edge Of Leh City, Ladakh, Jammu And Kashmir",Landslide,0.0
"Eknath(?) Chawl, Sainic Nagar(?), Below Mumbra Hill, Mumbra, Near Mumbai, Maharashtra",Landslide,6.0
"Ekvira Devi Temple, Karla Near Khandala",Landslide,0.0
"Endulin Nallah, Mayodia, 17-Camp, 83-Camp",Landslide,0.0
"Eraniel Station,  Kanyakumari District, India",Landslide,0.0
Erasama,Cyclone,1500.0
"Ernakulam, Kerala (Monsoon)",Landslide,4.0
Faizabad,Flood,100.0
Farangipete,Landslide,3.0
"Fazl Ali College, Mokokchung, Nagaland",Landslide,0.0
Ferozeguda,Landslide,1.0
"Finchaytaar, Lodhoma, Darjeeling, India",Landslide,0.0
"First Hairpin Bend, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",Landslide,0.0
Frasthar,Landslide,0.0
Gagnani,Landslide,0.0
"Gaiparnath Mahadev Temple, Foothills Of Chambal Ravines",Landslide,2.0
Gamraula Near Bilaspur,Landslide,0.0
"Gandoh, Doda District, Jammu",Landslide,1.0
"Gangortri-Rishikesh Highway, At Narendranagar In Tehri District Of Uttarakhand",Landslide,0.0
Gangotri,Landslide,0.0
Gangotri Highway,Landslide,0.0
Gangtok,Landslide,68.5
"Gaoilung(Gadailong) Village(?), Ward 4(?), Tamenglong, Manipur",Landslide,2.0
Garchuk,Landslide,0.0
"Garhwal, Uttarakhand",Landslide,1.0
"Garo Hills, Tura",Landslide,6.0
"Gauchar, Chamoli District, Uttarakhand",Landslide,0.0
"Gaunsawaddo, Mapusa, Goa, India",Landslide,0.0
"Gaurikund, Road To Kedarnath, Garwhal Division, Uttarakhand",Landslide,0.0
Gaurikund-Kedarnath Pedestrian Trek,Landslide,0.0
Gaya,Flood,36.5
"Gayabari,  West Bengal",Landslide,0.0
Gayatri Nagar,Landslide,1.0
"Geetkolbong, Kalimpong Sub-Division, Darjeeling, West Bengal",Landslide,1.0
"Gharao Village, Near Holi Township",Landslide,0.0
"Ghat Road Leading To Sri Kanakadurga(Kanaka Durga) Temple, Indrakeeladri Hill, Vijayawada City, Andhra Pradesh",Landslide,0.0
"Ghat Road Of The Kanaka Durga Temple, Vijayawada District",Landslide,0.0
Ghazipur,Flood,72.5
"Gilbert Hill, Andheri West, Mumbai",Landslide,0.0
Goalpara,Flood,89.33333333333333
"Goddess Nijabankeswari Temple, Digapahandi, Ganjam District, Odisha, India",Landslide,0.0
Golaghat,Flood,78.33333333333333
Gopalganj,Flood,121.5
Gopalpur,Cyclone,101.6
Gorakhpur,Flood,145.0
"Gourishankar Tea Estate Premises, Darjeeling, West Bengal",Landslide,4.0
"Government Middle School (Gms) Kiphire Station Â€Œbâ€, Kiphire, Nagaland, India",Landslide,0.0
"Govindghat, On The Rishikesh-Badrinath Highway",Landslide,0.0
Gudalur,Landslide,24.0
"Gudalur Town, Nilgiris, Tamil Nadu",Landslide,0.0
"Gudder Village(?), Kulgam District, Jammu And Kashmir",Landslide,0.0
Gujarat Coast,Cyclone,10.0
Gulbarga,Flood,67.5
Gumma On Pathankot-Mandi National Highway,Landslide,0.0
Gunadala Hill Of Vijayawada,Landslide,1.0
Guntur,Flood,84.33333333333333
"Gurez, Kashmir",Landslide,1.0
Guwahati,Flood,100.0
Guwahati,Landslide,6.0
Gwalior,Flood,115.0
Haari Village Of Poonch District,Landslide,1.0
"Haflong, Assam",Landslide,1.0
Hajibal,Landslide,0.0
Hanjishat Village In Handwara Area Of Kupwara District,Landslide,0.0
