district,disaster_type,district_event_count
"(Between Burliar And Kallar) Nilgiris, Tamil Nadu,",Landslide,1
"(Okai Tea Garden) Mirik, Darjeeling, West Bengal",Landslide,1
(Rail Track Between Kallar And Burliar)Tamil Nadu,Landslide,1
"(Thalanadu - Teekoy Hwy), Erattupetta, Kottayam (Thalanadu - Teekoy Hwy)",Landslide,1
".5 Km Away From Valparai Police Station At A Construction Site, Valparai, Tamil Nadu, India",Landslide,1
"12Th Mile Area At Jorabat, Meghalaya, India",Landslide,1
14 Milestone Of J N Marg Near Kyangnosola (East Sikkim),Landslide,1
"15 Km From Gangtok, Himalayans",Landslide,1
"15 Kms From Maram, National Highway-102/A (Maram Peren Road)",Landslide,1
"17Th Mile Towards Tsomgo Lake, Near Kyongsala, Sikkim",Landslide,1
"17Th Mile(?), Jawaharlal Nehru Marg Hwy, Between Gangtok And Nathu La, Sikkim",Landslide,1
"2 Km From Khongsang Village(?), Road Between Tamenglong And Imphal Or Nungba, Manipur",Landslide,1
"2 Mw Sal-Ii Hydropower Project, On The Outskirts Of Chamba",Landslide,1
200 Meters From Teesta Bridge Towards Siliguri,Landslide,1
22 Kms To 30 Kms Between Sangkungmai And Willong,Landslide,1
24 Parganas,Cyclone,1
"3Km Ahead Of Palchan, Manali-Palchan",Landslide,1
4 Locations In The Kannur District,Landslide,1
"43 Km-Point On Mughal Road, Poonch District, Jammu And Kashmir, India",Landslide,1
"4Th Mile On Road Between Rongli, Rhenock And Rangpo In East Sikkim.",Landslide,1
"4Th Mile, Lower Mangshila In North Sikkim",Landslide,1
5 Km From Kedarnath Temple,Landslide,1
"5 Km Off Sangam Point On Aalo- Pangin Road, Arunachal Pradesh, India",Landslide,1
"7 Km Of Road, Between Kasang And Akpa",Landslide,1
8 Mile In Kalimpong,Landslide,1
"A Cachar District Village, Near Village Of Srinager, Assam",Landslide,1
A Coal Mine In Sundergarh District Of Odisha,Landslide,1
A Construction Site On Tiger Hill Road,Landslide,1
A Hillock Between Kasara And Igatpuri,Landslide,1
"A Nullah Near The Government Hospital In Mandi, Himachal Pradesh",Landslide,1
A Village Near Bhavanagar,Landslide,1
Abhay?Puri,Earthquake,1
Adderlie Near Coonoor,Landslide,1
Adhkuwari,Landslide,1
Adilabad,Flood,3
Adoshi Tunnel,Landslide,2
"Adoshi Tunnel,  Khandala Ghat, On Pune-Mumbai Expressway",Landslide,1
"Adoshi Tunnel, Mumbai-Pune Expressway",Landslide,1
"Again On Tracks Near Kulshekar, Mangalore",Landslide,1
Agra,Flood,1
Ahmednagar,Flood,1
"Ahmednagar-Thane Road , Malshej Ghat, Maharashtra, India",Landslide,1
Aizawl,Earthquake,5
Aizawl,Landslide,3
"Aizawl, Mizoram, India",Landslide,1
"Aizawl-Lengpui Rd 3Km From Aizawl, Mizoram, Manipur",Landslide,1
Ajmer,Flood,1
Ajmer / Jaipur,Earthquake,1
Akola,Flood,2
Akonggre,Landslide,1
"Akuk Village, Wokha District, Nagaland",Landslide,1
Al?Pur Du?R,Earthquake,1
"Alaknanda Valley Of Chamoli District, Uttarakhand",Landslide,1
Alappuzha,Flood,6
Allahabad,Flood,3
Almora,Landslide,2
"Almora, Uttarakhand",Landslide,1
"Almora-Pithoragarh Road, Between Makrau And Thiari",Landslide,1
Along,Earthquake,4
Along Sringar Jammu Highway Between Panthial And Nachlana,Landslide,1
"Altinho, Goa",Landslide,1
Alwarpet In Coonoor,Landslide,1
Amarpur,Earthquake,1
Ambalappara In Thrissur,Landslide,1
"Ambedkar Nagar Slum(?), Ulhasnagar City, Thane District, Maharashtra",Landslide,1
Ambegaon,Landslide,1
"Amboli Ghat In Sindhdurg, Konkan",Landslide,1
"Amboli, Belagum, 1.5 Km From Main Waterfalls",Landslide,1
"Amei To Kangpokpi Via Imphal Road, 0.5 Km From Tamei, Tamenglang District",Landslide,1
Amingaon,Landslide,1
Amravati,Flood,2
Amreli,Flood,3
Amreli/Bhavnagar,Cyclone,8
Amritsar,Flood,4
Anantnag,Flood,4
Andaman & Nicobar Islands Coast,Cyclone,8
Andaman Islands,Cyclone,2
Andhra Pradesh,Cyclone,1
Andhra Pradesh Coast,Cyclone,226
"Angod, Mapusa",Landslide,1
"Anini-Roing Road,  Dibang Valley,  Arunachal Pradesh",Landslide,1
"Anmod Ghat Road, Goa-Karnataka Border",Landslide,1
Anni And Nahan,Landslide,1
"Antop Hill, Mumbai",Landslide,1
Araria,Flood,2
Arthanareeswarar Temple,Landslide,1
Arunachal Pradesh,Earthquake,3
Arunachal Pradesh,Landslide,4
"Arunachal Pradesh, Dibang,",Landslide,1
Arunachal Pradesh/Itanagar,Landslide,1
Assam,Earthquake,1
Assam - Nagaland,Earthquake,1
"Assam-Agartala National Highway, Sonarpur In Jayantiya Hills Of Meghalaya",Landslide,1
Assam-Nagaland-Manipur,Earthquake,1
At The Talgaon Cutting Between Sindhudurg And Kudal Section Of The Konkan Railway,Landslide,1
"Atharamura Hills, Highway 44, Tripura",Landslide,1
Atlanta Point,Landslide,1
Aurangabad,Flood,1
Ausa,Earthquake,3
"Avalanche, Nilgiris, Tamil Nadu",Landslide,1
"Ayanur Near Neriya, Karnataka",Landslide,1
Azad Jammu And Kashmir,Landslide,1
B?Bai,Earthquake,1
B?Lurgh?T,Earthquake,1
B?Nkura,Earthquake,1
B?Sugaon,Earthquake,1
B?Wal,Earthquake,1
Babrang Village Under Jang Circle In Tawang District,Landslide,1
Badrinath,Landslide,1
"Badrinath And Yamunotri Shrines(?), Garhwal Region, Uttarakhand",Landslide,1
Badrinath Highway Near Mulygoan In Tihri,Landslide,1
"Badrinath Rd,  Rishikesh, Uttarakhand",Landslide,1
"Badrinath Route, Lambagarh(?), Uttarakhand",Landslide,1
Bagalkot,Flood,2
