district,disaster_type,month,district_monthly_count
"(Between Burliar And Kallar) Nilgiris, Tamil Nadu,",Landslide,10,1
"(Okai Tea Garden) Mirik, Darjeeling, West Bengal",Landslide,8,1
(Rail Track Between Kallar And Burliar)Tamil Nadu,Landslide,10,1
"(Thalanadu - Teekoy Hwy), Erattupetta, Kottayam (Thalanadu - Teekoy Hwy)",Landslide,8,1
".5 Km Away From Valparai Police Station At A Construction Site, Valparai, Tamil Nadu, India",Landslide,9,1
"12Th Mile Area At Jorabat, Meghalaya, India",Landslide,7,1
14 Milestone Of J N Marg Near Kyangnosola (East Sikkim),Landslide,7,1
"15 Km From Gangtok, Himalayans",Landslide,8,1
"15 Kms From Maram, National Highway-102/A (Maram Peren Road)",Landslide,7,1
"17Th Mile Towards Tsomgo Lake, Near Kyongsala, Sikkim",Landslide,8,1
"17Th Mile(?), Jawaharlal Nehru Marg Hwy, Between Gangtok And Nathu La, Sikkim",Landslide,4,1
"2 Km From Khongsang Village(?), Road Between Tamenglong And Imphal Or Nungba, Manipur",Landslide,8,1
"2 Mw Sal-Ii Hydropower Project, On The Outskirts Of Chamba",Landslide,10,1
200 Meters From Teesta Bridge Towards Siliguri,Landslide,7,1
22 Kms To 30 Kms Between Sangkungmai And Willong,Landslide,7,1
24 Parganas,Cyclone,5,1
"3Km Ahead Of Palchan, Manali-Palchan",Landslide,3,1
4 Locations In The Kannur District,Landslide,7,1
"43 Km-Point On Mughal Road, Poonch District, Jammu And Kashmir, India",Landslide,2,1
"4Th Mile On Road Between Rongli, Rhenock And Rangpo In East Sikkim.",Landslide,9,1
"4Th Mile, Lower Mangshila In North Sikkim",Landslide,1,1
5 Km From Kedarnath Temple,Landslide,6,1
"5 Km Off Sangam Point On Aalo- Pangin Road, Arunachal Pradesh, India",Landslide,7,1
"7 Km Of Road, Between Kasang And Akpa",Landslide,6,1
8 Mile In Kalimpong,Landslide,1,1
"A Cachar District Village, Near Village Of Srinager, Assam",Landslide,5,1
A Coal Mine In Sundergarh District Of Odisha,Landslide,10,1
A Construction Site On Tiger Hill Road,Landslide,4,1
A Hillock Between Kasara And Igatpuri,Landslide,7,1
"A Nullah Near The Government Hospital In Mandi, Himachal Pradesh",Landslide,7,1
A Village Near Bhavanagar,Landslide,8,1
Abhay?Puri,Earthquake,7,1
Adderlie Near Coonoor,Landslide,4,1
Adhkuwari,Landslide,4,1
Adilabad,Flood,2,1
Adilabad,Flood,6,2
Adoshi Tunnel,Landslide,7,1
Adoshi Tunnel,Landslide,8,1
"Adoshi Tunnel,  Khandala Ghat, On Pune-Mumbai Expressway",Landslide,6,1
"Adoshi Tunnel, Mumbai-Pune Expressway",Landslide,7,1
"Again On Tracks Near Kulshekar, Mangalore",Landslide,6,1
Agra,Flood,5,1
Ahmednagar,Flood,5,1
"Ahmednagar-Thane Road , Malshej Ghat, Maharashtra, India",Landslide,10,1
Aizawl,Earthquake,1,1
Aizawl,Earthquake,2,1
Aizawl,Earthquake,4,1
Aizawl,Earthquake,11,1
Aizawl,Earthquake,12,1
Aizawl,Landslide,7,3
"Aizawl, Mizoram, India",Landslide,9,1
"Aizawl-Lengpui Rd 3Km From Aizawl, Mizoram, Manipur",Landslide,9,1
Ajmer,Flood,11,1
Ajmer / Jaipur,Earthquake,12,1
Akola,Flood,6,1
Akola,Flood,12,1
Akonggre,Landslide,6,1
"Akuk Village, Wokha District, Nagaland",Landslide,8,1
Al?Pur Du?R,Earthquake,12,1
"Alaknanda Valley Of Chamoli District, Uttarakhand",Landslide,7,1
Alappuzha,Flood,1,1
Alappuzha,Flood,3,2
Alappuzha,Flood,6,1
Alappuzha,Flood,8,1
Alappuzha,Flood,10,1
Allahabad,Flood,7,3
Almora,Landslide,7,2
"Almora, Uttarakhand",Landslide,6,1
"Almora-Pithoragarh Road, Between Makrau And Thiari",Landslide,6,1
Along,Earthquake,6,1
Along,Earthquake,9,2
Along,Earthquake,11,1
Along Sringar Jammu Highway Between Panthial And Nachlana,Landslide,3,1
"Altinho, Goa",Landslide,5,1
Alwarpet In Coonoor,Landslide,2,1
Amarpur,Earthquake,1,1
Ambalappara In Thrissur,Landslide,7,1
"Ambedkar Nagar Slum(?), Ulhasnagar City, Thane District, Maharashtra",Landslide,8,1
Ambegaon,Landslide,7,1
"Amboli Ghat In Sindhdurg, Konkan",Landslide,7,1
"Amboli, Belagum, 1.5 Km From Main Waterfalls",Landslide,7,1
"Amei To Kangpokpi Via Imphal Road, 0.5 Km From Tamei, Tamenglang District",Landslide,6,1
Amingaon,Landslide,1,1
Amravati,Flood,6,1
Amravati,Flood,12,1
Amreli,Flood,1,1
Amreli,Flood,6,1
Amreli,Flood,7,1
Amreli/Bhavnagar,Cyclone,6,3
Amreli/Bhavnagar,Cyclone,7,1
Amreli/Bhavnagar,Cyclone,10,4
Amritsar,Flood,1,1
Amritsar,Flood,4,1
Amritsar,Flood,7,1
Amritsar,Flood,12,1
Anantnag,Flood,2,1
Anantnag,Flood,7,1
Anantnag,Flood,9,2
Andaman & Nicobar Islands Coast,Cyclone,3,1
Andaman & Nicobar Islands Coast,Cyclone,11,4
Andaman & Nicobar Islands Coast,Cyclone,12,3
Andaman Islands,Cyclone,5,2
Andhra Pradesh,Cyclone,12,1
Andhra Pradesh Coast,Cyclone,1,4
Andhra Pradesh Coast,Cyclone,4,9
Andhra Pradesh Coast,Cyclone,5,20
Andhra Pradesh Coast,Cyclone,6,19
Andhra Pradesh Coast,Cyclone,7,15
Andhra Pradesh Coast,Cyclone,8,31
Andhra Pradesh Coast,Cyclone,9,48
Andhra Pradesh Coast,Cyclone,10,51
Andhra Pradesh Coast,Cyclone,11,27
Andhra Pradesh Coast,Cyclone,12,2
"Angod, Mapusa",Landslide,6,1
"Anini-Roing Road,  Dibang Valley,  Arunachal Pradesh",Landslide,5,1
"Anmod Ghat Road, Goa-Karnataka Border",Landslide,3,1
Anni And Nahan,Landslide,9,1
"Antop Hill, Mumbai",Landslide,10,1
Araria,Flood,7,2
Arthanareeswarar Temple,Landslide,10,1
Arunachal Pradesh,Earthquake,1,1
Arunachal Pradesh,Earthquake,4,2
Arunachal Pradesh,Landslide,2,1
Arunachal Pradesh,Landslide,4,1
Arunachal Pradesh,Landslide,6,1
Arunachal Pradesh,Landslide,8,1
"Arunachal Pradesh, Dibang,",Landslide,2,1
Arunachal Pradesh/Itanagar,Landslide,8,1
Assam,Earthquake,6,1
Assam - Nagaland,Earthquake,11,1
"Assam-Agartala National Highway, Sonarpur In Jayantiya Hills Of Meghalaya",Landslide,11,1
Assam-Nagaland-Manipur,Earthquake,2,1
At The Talgaon Cutting Between Sindhudurg And Kudal Section Of The Konkan Railway,Landslide,7,1
"Atharamura Hills, Highway 44, Tripura",Landslide,3,1
Atlanta Point,Landslide,6,1
Aurangabad,Flood,7,1
Ausa,Earthquake,9,1
Ausa,Earthquake,11,1
Ausa,Earthquake,12,1
"Avalanche, Nilgiris, Tamil Nadu",Landslide,7,1
"Ayanur Near Neriya, Karnataka",Landslide,12,1
Azad Jammu And Kashmir,Landslide,11,1
B?Bai,Earthquake,3,1
B?Lurgh?T,Earthquake,8,1
B?Nkura,Earthquake,5,1
B?Sugaon,Earthquake,6,1
B?Wal,Earthquake,11,1
Babrang Village Under Jang Circle In Tawang District,Landslide,5,1
Badrinath,Landslide,9,1
"Badrinath And Yamunotri Shrines(?), Garhwal Region, Uttarakhand",Landslide,7,1
