grid_cell,disaster_type,grid_avg_deaths
10.0_76.7,Landslide,2.6666666666666665
10.0_76.8,Landslide,0.5
10.0_77.0,Landslide,2.0
10.0_92.0,Cyclone,8.0
10.1_76.5,Landslide,2.0
10.1_76.6,Landslide,2.0
10.1_76.8,Landslide,2.5
10.1_77.1,Landslide,0.0
10.1_78.0,Landslide,3.0
10.2_77.5,Landslide,0.0
10.2_77.6,Landslide,0.0
10.3_76.4,Landslide,1.0
10.3_77.0,Landslide,1.0
10.3_77.2,Landslide,1.0
10.3_77.5,Landslide,0.0
10.3_77.6,Landslide,0.0
10.4_77.5,Landslide,0.0
10.5_76.0,Flood,32.0
10.5_76.2,Flood,95.0
10.8_78.7,Landslide,4.0
10.8_79.8,Cyclone,85.66666666666667
10.9_79.8,Cyclone,55.0
11.0_76.6,Landslide,0.0
11.0_77.6,Landslide,0.0
11.1_76.1,Landslide,10.0
11.2_75.8,Flood,45.0
11.3_76.8,Landslide,0.3333333333333333
11.3_76.9,Landslide,0.0
11.3_77.1,Landslide,2.0
11.4_76.7,Landslide,44.0
11.4_77.9,Landslide,0.0
11.5_76.5,Landslide,12.0
11.6_76.1,Landslide,22.333333333333332
11.7_76.1,Landslide,4.0
11.7_77.6,Landslide,0.0
11.7_92.7,Landslide,0.0
11.8_75.5,Landslide,2.0
11.8_78.2,Landslide,1.5
11.8_78.9,Flood,325.0
11.8_79.8,Cyclone,91.0
11.9_79.8,Cyclone,28.0
12.0_92.0,Cyclone,6.0
12.6_80.2,Cyclone,64.5
12.7_75.3,Landslide,0.0
12.7_79.7,Flood,29.0
12.8_74.9,Landslide,0.0
12.8_75.1,Landslide,0.0
12.8_75.2,Landslide,4.0
12.8_80.2,Cyclone,32.0
12.9_74.9,Landslide,0.0
12.9_75.0,Landslide,1.5
12.9_75.8,Landslide,0.0
13.0_76.3,Landslide,0.0
13.0_80.2,Landslide,0.0
13.1_80.3,Cyclone,84.83333333333333
13.1_80.3,Flood,87.0
13.2_76.1,Landslide,0.0
13.7_79.3,Landslide,0.0
14.0_74.7,Landslide,0.0
14.1_79.9,Flood,47.0
14.4_80.0,Cyclone,362.3333333333333
14.4_80.0,Flood,175.0
