grid_cell,disaster_type,month,grid_monthly_count
10.0_76.7,Landslide,6,1
10.0_76.7,Landslide,8,2
10.0_76.8,Landslide,5,1
10.0_76.8,Landslide,10,1
10.0_77.0,Landslide,4,1
10.0_81.3,Cyclone,11,1
10.0_92.0,Cyclone,5,1
10.0_92.9,Earthquake,7,1
10.0_93.0,Earthquake,3,1
10.0_93.2,Earthquake,12,1
10.0_93.3,Earthquake,11,1
10.0_93.5,Earthquake,3,1
10.0_93.6,Earthquake,5,2
10.0_93.8,Earthquake,9,1
10.0_94.0,Earthquake,2,1
10.0_94.0,Earthquake,7,1
10.1_76.3,Landslide,10,1
10.1_76.5,Landslide,7,1
10.1_76.6,Landslide,7,1
10.1_76.6,Landslide,8,1
10.1_76.8,Landslide,5,2
10.1_77.1,Landslide,2,1
10.1_78.0,Landslide,7,1
10.1_92.1,Earthquake,5,1
10.1_92.9,Earthquake,2,1
10.1_93.2,Earthquake,10,1
10.1_93.3,Earthquake,10,1
10.1_93.3,Earthquake,12,1
10.1_93.5,Earthquake,4,1
10.1_93.7,Earthquake,1,1
10.1_93.7,Earthquake,2,1
10.1_93.7,Earthquake,10,1
10.1_93.8,Earthquake,6,1
10.1_93.8,Earthquake,10,1
10.1_94.0,Earthquake,5,1
10.2_77.5,Landslide,3,1
10.2_77.5,Landslide,7,1
10.2_77.6,Landslide,10,1
10.2_77.6,Landslide,11,1
10.2_79.6,Cyclone,11,1
10.2_79.6,Cyclone,12,1
10.2_80.1,Cyclone,11,1
10.2_80.3,Cyclone,5,1
10.2_92.2,Earthquake,7,1
10.2_92.6,Earthquake,5,1
10.2_92.7,Earthquake,11,1
10.2_92.8,Earthquake,8,1
10.2_92.9,Earthquake,1,1
10.2_93.0,Earthquake,8,1
10.2_93.6,Earthquake,4,1
10.2_93.6,Earthquake,6,2
10.2_93.7,Earthquake,10,1
10.2_93.8,Earthquake,11,1
10.2_94.3,Earthquake,4,1
10.2_94.4,Earthquake,9,1
10.3_76.4,Landslide,4,1
10.3_76.4,Landslide,5,1
10.3_76.8,Landslide,7,1
10.3_77.0,Landslide,9,1
10.3_77.2,Landslide,8,1
10.3_77.5,Landslide,11,1
10.3_77.6,Landslide,9,1
10.3_80.0,Cyclone,11,1
10.3_80.0,Cyclone,12,1
10.3_92.2,Earthquake,5,1
10.3_92.3,Earthquake,10,1
10.3_92.5,Earthquake,1,1
10.3_92.6,Earthquake,10,1
10.3_92.9,Earthquake,6,1
10.3_93.1,Earthquake,1,1
10.3_93.1,Earthquake,3,1
10.3_93.7,Earthquake,7,1
10.3_93.7,Earthquake,9,1
10.3_93.8,Earthquake,2,1
10.3_93.9,Earthquake,1,1
10.3_94.1,Earthquake,9,1
10.4_77.5,Landslide,10,1
10.4_79.9,Cyclone,12,1
10.4_80.4,Cyclone,11,1
10.4_80.6,Cyclone,11,1
10.4_92.3,Earthquake,1,1
10.4_92.5,Earthquake,3,1
10.4_93.0,Earthquake,4,1
10.4_93.3,Earthquake,2,1
10.4_93.4,Earthquake,2,1
10.4_93.4,Earthquake,9,1
10.4_93.7,Earthquake,12,1
10.4_93.9,Earthquake,6,1
10.4_94.2,Earthquake,8,1
10.4_94.2,Earthquake,10,1
10.5_76.0,Flood,5,1
10.5_76.2,Flood,8,1
10.5_78.0,Cyclone,9,1
10.5_92.1,Earthquake,10,1
10.5_92.3,Earthquake,9,1
10.5_92.7,Earthquake,8,1
10.5_92.8,Earthquake,2,1
10.5_92.8,Earthquake,10,1
10.5_92.9,Earthquake,11,1
10.5_93.0,Earthquake,1,1
10.5_93.1,Earthquake,5,1
10.5_93.3,Earthquake,4,1
10.5_93.4,Earthquake,7,1
10.5_93.5,Earthquake,8,1
10.5_93.8,Earthquake,2,1
10.5_93.8,Earthquake,11,1
10.5_93.9,Earthquake,12,1
10.6_80.4,Cyclone,11,1
10.6_80.8,Cyclone,11,1
10.6_92.5,Earthquake,5,1
10.6_92.6,Earthquake,3,1
10.6_92.7,Earthquake,1,1
10.6_93.0,Earthquake,7,1
