state,month,state_any_monthly_count
Andaman And Nicobar Islands,1,44
Andaman And Nicobar Islands,2,43
Andaman And Nicobar Islands,3,52
Andaman And Nicobar Islands,4,43
Andaman And Nicobar Islands,5,51
Andaman And Nicobar Islands,6,46
Andaman And Nicobar Islands,7,40
Andaman And Nicobar Islands,8,46
Andaman And Nicobar Islands,9,51
Andaman And Nicobar Islands,10,50
Andaman And Nicobar Islands,11,48
Andaman And Nicobar Islands,12,49
Andhra Pradesh,1,10
Andhra Pradesh,2,13
Andhra Pradesh,3,1
Andhra Pradesh,4,12
Andhra Pradesh,5,37
Andhra Pradesh,6,33
Andhra Pradesh,7,61
Andhra Pradesh,8,70
Andhra Pradesh,9,73
Andhra Pradesh,10,102
Andhra Pradesh,11,70
Andhra Pradesh,12,14
Arunachal Pradesh,1,16
Arunachal Pradesh,2,17
Arunachal Pradesh,3,12
Arunachal Pradesh,4,14
Arunachal Pradesh,5,12
Arunachal Pradesh,6,27
Arunachal Pradesh,7,52
Arunachal Pradesh,8,24
Arunachal Pradesh,9,24
Arunachal Pradesh,10,16
Arunachal Pradesh,11,15
Arunachal Pradesh,12,8
Assam,1,61
Assam,2,14
Assam,3,25
Assam,4,20
Assam,5,33
Assam,6,47
Assam,7,134
Assam,8,42
Assam,9,51
Assam,10,26
Assam,11,21
Assam,12,12
Bihar,1,4
Bihar,2,2
Bihar,3,7
Bihar,4,5
Bihar,5,13
Bihar,6,10
Bihar,7,76
Bihar,8,19
Bihar,9,16
Bihar,10,5
Bihar,12,2
Chandigarh,7,4
Chandigarh,8,2
Chhattisgarh,2,3
Chhattisgarh,6,1
Chhattisgarh,7,9
Chhattisgarh,8,1
Chhattisgarh,9,2
Chhattisgarh,10,4
Chhattisgarh,11,2
Chhattisgarh,12,1
Daman And Diu,7,2
Delhi,1,1
Delhi,5,2
Delhi,7,13
Delhi,8,3
Delhi,9,4
Delhi,10,1
Delhi,11,1
Delhi,12,1
Goa,1,1
Goa,5,3
Goa,6,10
Goa,7,11
Goa,8,2
Goa,9,2
Goa,10,2
Goa,11,2
Goa,12,1
Gujarat,1,24
Gujarat,2,6
Gujarat,3,5
Gujarat,4,11
Gujarat,5,11
Gujarat,6,41
Gujarat,7,72
Gujarat,8,23
Gujarat,9,17
Gujarat,10,18
Gujarat,11,11
Gujarat,12,2
Haryana,2,1
Haryana,3,3
Haryana,4,1
Haryana,5,3
Haryana,6,2
Haryana,7,18
Haryana,8,6
Haryana,9,6
Haryana,11,4
Himachal Pradesh,1,12
Himachal Pradesh,2,8
Himachal Pradesh,3,12
Himachal Pradesh,4,6
Himachal Pradesh,5,14
Himachal Pradesh,6,29
Himachal Pradesh,7,100
Himachal Pradesh,8,48
Himachal Pradesh,9,35
Himachal Pradesh,10,27
Himachal Pradesh,11,11
Himachal Pradesh,12,15
Jammu And Kashmir,1,15
Jammu And Kashmir,2,40
Jammu And Kashmir,3,51
Jammu And Kashmir,4,27
Jammu And Kashmir,5,35
Jammu And Kashmir,6,38
Jammu And Kashmir,7,58
Jammu And Kashmir,8,51
Jammu And Kashmir,9,32
Jammu And Kashmir,10,28
Jammu And Kashmir,11,15
Jammu And Kashmir,12,14
Jharkhand,2,1
Jharkhand,3,6
Jharkhand,5,1
Jharkhand,6,5
Jharkhand,7,10
Jharkhand,8,2
Jharkhand,9,6
Jharkhand,10,3
Jharkhand,11,2
Jharkhand,12,2
Karnataka,1,14
Karnataka,2,9
Karnataka,3,4
Karnataka,4,9
Karnataka,5,9
Karnataka,6,18
Karnataka,7,32
Karnataka,8,13
Karnataka,9,5
Karnataka,10,11
Karnataka,11,8
Karnataka,12,4
Kerala,1,16
Kerala,2,5
Kerala,3,19
Kerala,4,3
Kerala,5,14
Kerala,6,21
Kerala,7,45
Kerala,8,28
Kerala,9,5
Kerala,10,30
Kerala,11,15
Kerala,12,9
Ladakh,1,10
Ladakh,2,8
Ladakh,3,8
Ladakh,4,5
Ladakh,5,8
Ladakh,6,6
Ladakh,7,6
Ladakh,8,9
Ladakh,9,7
Ladakh,10,7
Ladakh,11,9
Ladakh,12,11
Madhya Pradesh,1,2
Madhya Pradesh,2,3
Madhya Pradesh,3,3
Madhya Pradesh,5,2
Madhya Pradesh,6,5
Madhya Pradesh,7,28
Madhya Pradesh,8,13
Madhya Pradesh,9,3
Madhya Pradesh,10,2
Madhya Pradesh,11,1
