state,disaster_type,month,state_monthly_count
Andaman And Nicobar Islands,Cyclone,3,1
Andaman And Nicobar Islands,Cyclone,5,3
Andaman And Nicobar Islands,Cyclone,11,4
Andaman And Nicobar Islands,Cyclone,12,3
Andaman And Nicobar Islands,Earthquake,1,44
Andaman And Nicobar Islands,Earthquake,2,43
Andaman And Nicobar Islands,Earthquake,3,51
Andaman And Nicobar Islands,Earthquake,4,43
Andaman And Nicobar Islands,Earthquake,5,48
Andaman And Nicobar Islands,Earthquake,6,45
Andaman And Nicobar Islands,Earthquake,7,40
Andaman And Nicobar Islands,Earthquake,8,46
Andaman And Nicobar Islands,Earthquake,9,51
Andaman And Nicobar Islands,Earthquake,10,50
Andaman And Nicobar Islands,Earthquake,11,44
Andaman And Nicobar Islands,Earthquake,12,46
Andaman And Nicobar Islands,Landslide,6,1
Andhra Pradesh,Cyclone,1,6
Andhra Pradesh,Cyclone,4,10
Andhra Pradesh,Cyclone,5,30
Andhra Pradesh,Cyclone,6,24
Andhra Pradesh,Cyclone,7,16
Andhra Pradesh,Cyclone,8,36
Andhra Pradesh,Cyclone,9,63
Andhra Pradesh,Cyclone,10,89
Andhra Pradesh,Cyclone,11,59
Andhra Pradesh,Cyclone,12,8
Andhra Pradesh,Earthquake,7,1
Andhra Pradesh,Earthquake,12,1
Andhra Pradesh,Flood,1,4
Andhra Pradesh,Flood,2,11
Andhra Pradesh,Flood,3,1
Andhra Pradesh,Flood,4,1
Andhra Pradesh,Flood,5,6
Andhra Pradesh,Flood,6,5
Andhra Pradesh,Flood,7,43
Andhra Pradesh,Flood,8,29
Andhra Pradesh,Flood,9,9
Andhra Pradesh,Flood,10,11
Andhra Pradesh,Flood,11,9
Andhra Pradesh,Flood,12,3
Andhra Pradesh,Landslide,2,2
Andhra Pradesh,Landslide,4,1
Andhra Pradesh,Landslide,5,1
Andhra Pradesh,Landslide,6,4
Andhra Pradesh,Landslide,7,1
Andhra Pradesh,Landslide,8,5
Andhra Pradesh,Landslide,9,1
Andhra Pradesh,Landslide,10,2
Andhra Pradesh,Landslide,11,2
Andhra Pradesh,Landslide,12,2
Arunachal Pradesh,Earthquake,1,10
Arunachal Pradesh,Earthquake,2,12
Arunachal Pradesh,Earthquake,3,10
Arunachal Pradesh,Earthquake,4,11
Arunachal Pradesh,Earthquake,5,6
Arunachal Pradesh,Earthquake,6,18
Arunachal Pradesh,Earthquake,7,14
Arunachal Pradesh,Earthquake,8,13
Arunachal Pradesh,Earthquake,9,19
Arunachal Pradesh,Earthquake,10,12
Arunachal Pradesh,Earthquake,11,13
Arunachal Pradesh,Earthquake,12,5
Arunachal Pradesh,Flood,4,1
Arunachal Pradesh,Flood,5,2
Arunachal Pradesh,Flood,6,5
Arunachal Pradesh,Flood,7,25
Arunachal Pradesh,Flood,8,5
Arunachal Pradesh,Flood,9,2
Arunachal Pradesh,Flood,10,2
Arunachal Pradesh,Flood,11,1
Arunachal Pradesh,Landslide,1,6
Arunachal Pradesh,Landslide,2,5
Arunachal Pradesh,Landslide,3,2
Arunachal Pradesh,Landslide,4,2
Arunachal Pradesh,Landslide,5,4
Arunachal Pradesh,Landslide,6,4
Arunachal Pradesh,Landslide,7,13
Arunachal Pradesh,Landslide,8,6
Arunachal Pradesh,Landslide,9,3
Arunachal Pradesh,Landslide,10,2
Arunachal Pradesh,Landslide,11,1
Arunachal Pradesh,Landslide,12,3
Assam,Earthquake,1,14
Assam,Earthquake,2,11
Assam,Earthquake,3,12
Assam,Earthquake,4,15
Assam,Earthquake,5,23
Assam,Earthquake,6,14
Assam,Earthquake,7,16
Assam,Earthquake,8,17
Assam,Earthquake,9,11
Assam,Earthquake,10,17
Assam,Earthquake,11,17
Assam,Earthquake,12,11
Assam,Flood,1,43
Assam,Flood,3,8
Assam,Flood,4,3
Assam,Flood,5,4
